ts,asset,severity,message,status
2026-05-11 08:00:00,ENG-WS51,medium,Impossible travel suppressed by known proxy,suppressed
2026-05-11 08:07:00,ENG-WS51,high,New browser extension installed,closed
2026-05-11 08:14:00,ENG-WS51,high,Known backup job completed,suppressed
2026-05-11 08:21:00,ENG-WS51,high,New browser extension installed,info
2026-05-11 08:28:00,SP01,low,EDiscovery export completed,info
2026-05-11 08:35:00,ENG-WS51,low,New browser extension installed,alert
2026-05-11 08:42:00,FIN-WS22,medium,EDiscovery export completed,suppressed
2026-05-11 08:49:00,VPN-GW01,medium,Known backup job completed,closed
2026-05-11 08:56:00,DC01,low,OAuth grant added,closed
2026-05-11 09:03:00,DC01,high,Password spray detection (low confidence),suppressed
2026-05-11 09:10:00,DC01,medium,New browser extension installed,suppressed
2026-05-11 09:17:00,BLD-AG03,high,Legacy VPN cert used,alert
2026-05-11 09:24:00,FIN-WS22,medium,Password spray detection (low confidence),info
2026-05-11 09:31:00,BLD-AG03,low,EDiscovery export completed,closed
2026-05-11 09:38:00,ENG-WS51,low,Known backup job completed,info
2026-05-11 09:45:00,HR-LT19,medium,Large outbound transfer,closed
2026-05-11 09:52:00,ENG-WS51,medium,Impossible travel suppressed by known proxy,info
2026-05-11 09:59:00,FIN-WS22,high,Large outbound transfer,alert
2026-05-11 10:06:00,DC01,medium,Large outbound transfer,suppressed
2026-05-11 10:13:00,VPN-GW01,high,Legacy VPN cert used,info
2026-05-11 10:20:00,VPN-GW01,medium,Legacy VPN cert used,alert
2026-05-11 10:27:00,FIN-WS22,medium,OAuth grant added,suppressed
2026-05-11 10:34:00,DC01,low,Unsigned PowerShell execution,info
2026-05-11 10:41:00,FIN-WS22,high,Password spray detection (low confidence),info
2026-05-11 10:48:00,FIN-WS22,low,Large outbound transfer,closed
2026-05-11 10:55:00,SP01,medium,Legacy VPN cert used,info
2026-05-11 11:02:00,VPN-GW01,medium,OAuth grant added,closed
2026-05-11 11:09:00,FIN-WS22,medium,OAuth grant added,closed
2026-05-11 11:16:00,BLD-AG03,high,Unsigned PowerShell execution,info
2026-05-11 11:23:00,SP01,low,Known backup job completed,closed
2026-05-11 11:30:00,FIN-WS22,high,Legacy VPN cert used,closed
2026-05-11 11:37:00,DC01,low,Legacy VPN cert used,alert
2026-05-11 11:44:00,SP01,medium,EDiscovery export completed,closed
2026-05-11 11:51:00,HR-LT19,low,Unsigned PowerShell execution,alert
2026-05-11 11:58:00,DC01,medium,EDiscovery export completed,suppressed
2026-05-11 12:05:00,DC01,medium,OAuth grant added,alert
2026-05-11 12:12:00,VPN-GW01,low,EDiscovery export completed,suppressed
2026-05-11 12:19:00,HR-LT19,low,OAuth grant added,info
2026-05-11 12:26:00,HR-LT19,high,Large outbound transfer,info
2026-05-11 12:33:00,DC01,low,New browser extension installed,closed
2026-05-11 12:40:00,HR-LT19,medium,Large outbound transfer,alert
2026-05-11 12:47:00,VPN-GW01,low,Legacy VPN cert used,closed
2026-05-11 12:54:00,VPN-GW01,medium,Unsigned PowerShell execution,suppressed
2026-05-11 13:01:00,DC01,low,OAuth grant added,closed
2026-05-11 13:08:00,BLD-AG03,low,Unsigned PowerShell execution,alert
2026-05-11 13:15:00,VPN-GW01,medium,Large outbound transfer,alert
2026-05-11 13:22:00,HR-LT19,high,OAuth grant added,suppressed
2026-05-11 13:29:00,ENG-WS51,high,EDiscovery export completed,suppressed
2026-05-11 13:36:00,HR-LT19,high,EDiscovery export completed,closed
2026-05-11 13:43:00,SP01,high,User added to local administrators,closed
2026-05-11 13:50:00,VPN-GW01,low,Known backup job completed,alert
2026-05-11 13:57:00,DC01,low,EDiscovery export completed,info
2026-05-11 14:04:00,BLD-AG03,medium,Large outbound transfer,suppressed
2026-05-11 14:11:00,BLD-AG03,low,User added to local administrators,closed
2026-05-11 14:18:00,DC01,low,New browser extension installed,info
2026-05-11 14:25:00,DC01,low,OAuth grant added,alert
2026-05-11 14:32:00,FIN-WS22,low,Legacy VPN cert used,alert
2026-05-11 14:39:00,HR-LT19,high,New browser extension installed,alert
2026-05-11 14:46:00,FIN-WS22,high,Unsigned PowerShell execution,suppressed
2026-05-11 14:53:00,BLD-AG03,high,Password spray detection (low confidence),alert
2026-05-11 15:00:00,DC01,medium,Known backup job completed,info
2026-05-11 15:07:00,FIN-WS22,medium,Unsigned PowerShell execution,closed
2026-05-11 15:14:00,HR-LT19,medium,Legacy VPN cert used,closed
2026-05-11 15:21:00,DC01,medium,Large outbound transfer,info
2026-05-11 15:28:00,FIN-WS22,medium,Legacy VPN cert used,suppressed
2026-05-11 15:35:00,ENG-WS51,high,Known backup job completed,suppressed
2026-05-11 15:42:00,FIN-WS22,low,Legacy VPN cert used,alert
