ts,client,query,type,response,rcode,latency_ms
2026-05-12T00:00:00.000Z,ENG-FS03,registry.npmjs.org,A,52.92.128.17,NOERROR,44
2026-05-12T00:00:38.193Z,FIN-WS22,cdn.slack.com,A,52.92.128.17,NOERROR,34
2026-05-12T00:02:01.277Z,HR-LT19,s3.us-west-2.amazonaws.com,A,13.107.42.14,NOERROR,20
2026-05-12T00:04:35.641Z,VDI-POOL-02,cdn.slack.com,A,74.112.186.55,NOERROR,2
2026-05-12T00:05:49.795Z,build-agent-03,registry.npmjs.org,A,140.82.112.5,NOERROR,34
2026-05-12T00:06:54.598Z,ENG-FS03,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,62
2026-05-12T00:08:18.008Z,HR-LT19,api.github.com,A,13.107.42.14,NOERROR,24
2026-05-12T00:09:41.710Z,HR-LT19,box.com,A,52.92.128.17,NOERROR,70
2026-05-12T00:10:46.392Z,VDI-POOL-02,registry.npmjs.org,A,13.107.42.14,NOERROR,41
2026-05-12T00:12:56.221Z,ENG-FS03,box.com,A,140.82.112.5,NOERROR,20
2026-05-12T00:15:28.119Z,build-agent-03,registry.npmjs.org,A,140.82.112.5,NOERROR,52
2026-05-12T00:17:36.752Z,ENG-FS03,api.github.com,A,52.92.128.17,NOERROR,22
2026-05-12T00:20:29.026Z,VDI-POOL-03,login.microsoftonline.com,A,140.82.112.5,NOERROR,24
2026-05-12T00:22:28.437Z,VDI-POOL-03,cdn.slack.com,A,13.107.42.14,NOERROR,26
2026-05-12T00:25:03.421Z,build-agent-03,box.com,A,52.92.128.17,NOERROR,33
2026-05-12T00:26:52.141Z,VDI-POOL-03,s3.us-west-2.amazonaws.com,A,74.112.186.55,NOERROR,23
2026-05-12T00:28:31.205Z,VDI-POOL-03,registry.npmjs.org,A,140.82.112.5,NOERROR,49
2026-05-12T00:29:45.649Z,VDI-POOL-03,api.github.com,A,52.92.128.17,NOERROR,67
2026-05-12T00:31:33.299Z,FIN-WS22,updates.microsoft.com,A,140.82.112.5,NOERROR,66
2026-05-12T00:32:48.870Z,FIN-WS22,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,42
2026-05-12T00:34:30.819Z,VDI-POOL-02,cdn.slack.com,A,140.82.112.5,NOERROR,66
2026-05-12T00:37:00.225Z,HR-LT19,api.github.com,A,140.82.112.5,NOERROR,56
2026-05-12T00:38:11.607Z,FIN-WS22,cdn.slack.com,A,52.92.128.17,NOERROR,37
2026-05-12T00:39:31.107Z,build-agent-03,registry.npmjs.org,A,74.112.186.55,NOERROR,71
2026-05-12T00:41:10.934Z,ENG-FS03,box.com,A,140.82.112.5,NOERROR,20
2026-05-12T00:42:13.651Z,ENG-FS03,api.github.com,A,140.82.112.5,NOERROR,33
2026-05-12T00:43:39.258Z,build-agent-03,registry.npmjs.org,A,13.107.42.14,NOERROR,37
2026-05-12T00:45:30.583Z,VDI-POOL-03,s3.us-west-2.amazonaws.com,A,140.82.112.5,NOERROR,71
2026-05-12T00:46:59.129Z,VDI-POOL-02,box.com,A,13.107.42.14,NOERROR,28
